record_id,term,canonical_meaning,category_primary,category_secondary,domains,era,region,confidence,review_status,status,source_id,risk_flag,sensitivity_tag,display_label,short_anchor,notes,owner,last_reviewed_at,approved_by
REC54_M1026,Hell,Proper noun in: N.Y. State of Mind by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Hell,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1027,queens,Geographic reference,place,,place,2000s-present,,4,approved,active,SRC_5_4_MINER,low,contextual,queens,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,PH Labs Curator
REC54_M1028,bread,Street/slang term,slang,,slang,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,bread,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1029,shorty,Street/slang term,slang,,slang,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,shorty,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1030,Jay-Z,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Jay-Z,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1031,Fuck,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Fuck,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1032,Teach,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Teach,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1033,Pac Nas,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Pac Nas,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1035,Big,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,Big,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
REC54_M1036,East West North South,Proper noun in: Ether by Nas,entity,,entity,2000s-present,,3,needs_review,active,SRC_5_4_MINER,low,contextual,East West North South,,Mined by lyric-miner.mjs on 2026-07-11,PH Labs Curator,2026-07-11,
